Jump,Date,Exit,Open,Delay,Total,Vmax,Vavg,Fallrate,Profile,Place,Aircraft,Type
1,2018-06-30,"13,500",0,60.0,0:01:00,0.0,0.0,Manual,,Spaceland Dallas,Otter,Tandem
2,2018-07-01,"13,500",0,60.0,0:02:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,Tandem
3,2018-07-22,"13,500",0,60.0,0:03:00,0.0,0.0,Manual,,Spaceland Dallas,Otter,STP
4,2018-07-22,"13,500",0,60.0,0:04:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
5,2018-07-27,"13,500",0,60.0,0:05:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
6,2018-07-27,"13,500",0,60.0,0:16:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
7,2018-07-27,"13,500",0,60.0,0:17:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
8,2018-07-27,"13,500",0,60.0,0:18:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
9,2018-07-28,"13,500",0,60.0,0:19:00,0.0,0.0,Manual,,Spaceland Dallas,Otter,STP
10,2018-07-28,"13,500",0,60.0,0:10:00,0.0,0.0,Manual,,Spaceland Dallas,Otter,STP
11,2018-07-28,"13,500",0,60.0,0:11:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
12,2018-08-16,"13,500",0,60.0,0:12:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
13,2018-08-16,"13,500",0,60.0,0:13:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
14,2018-08-16,"13,500",0,60.0,0:14:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
15,2018-08-16,"13,500",0,60.0,0:25:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
16,2018-08-25,"13,500",0,60.0,0:26:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
17,2018-08-25,"13,500",0,60.0,0:27:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
18,2018-08-25,"13,500",0,60.0,0:28:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
19,2018-08-31,"6,500",0,15.0,0:28:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,HNP
20,2018-08-31,"13,500",0,60.0,0:29:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
21,2018-08-31,"13,500",0,60.0,0:20:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
22,2018-08-31,"13,500",0,60.0,0:21:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
23,2018-08-31,"13,500",0,60.0,0:22:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
24,2018-09-01,"13,500",0,60.0,0:23:25,0.0,0.0,Manual,,Spaceland Dallas,Otter,STP
25,2018-09-01,"13,500",0,60.0,0:24:25,0.0,0.0,Manual,,Spaceland Dallas,Otter,STP
26,2018-09-01,"13,500",0,60.0,0:35:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
27,2018-09-14,"13,500",0,60.0,0:36:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,STP
28,2018-09-14,"13,500",0,60.0,0:37:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,BELLY
29,2018-09-14,"6,500",0,15.0,0:38:30,0.0,0.0,Manual,,Spaceland Dallas,Supervan,HNP
30,2018-09-14,"6,500",0,15.0,0:38:45,0.0,0.0,Manual,,Spaceland Dallas,Supervan,HNP
31,2018-10-27,"6,500",0,15.0,0:38:00,0.0,0.0,Manual,,Spaceland Dallas,Supervan,HNP
32,2018-10-27,"6,500",0,15.0,0:38:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,HNP
33,2018-10-27,"13,500",0,60.0,0:39:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,BELLY
34,2018-10-27,"13,500",0,60.0,1:30:25,0.0,0.0,Manual,,Spaceland Dallas,Otter,BELLY
35,2018-11-17,"13,500",0,60.0,1:31:25,0.0,0.0,Manual,,Spaceland Dallas,Supervan,BELLY
